PLATFORM_CODE,PARAMETER_NAME,START_DATE,END_DATE,QUALITY_CODE,COMMENT,DAC
1900432,PRES,20071129,,3,sensor problem,AO
1900432,PSAL,20071129,,3,sensor problem,AO
1900432,TEMP,20071129,,3,sensor problem,AO
1900528,PSAL,20070608,,3,sensor problem,AO
1900528,TEMP,20070608,,3,sensor problem,AO
1900573,PSAL,20060319,,3,salinity drift,AO
1900727,PRES,20150612,,3,sensor problems,AO
1900727,PSAL,20150612,,3,sensor problems,AO
1900727,TEMP,20150612,,3,sensor problems,AO
1900734,PSAL,20060811,,4,sensor failure,AO
1900734,TEMP,20060811,,4,sensor failure,AO
1900951,PSAL,20140409,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900953,PSAL,20140409,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900954,PSAL,20140413,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900957,PSAL,20141101,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900958,PSAL,20141103,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900959,PSAL,20150413,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900960,PSAL,20150414,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900961,PSAL,20150418,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1900976,PRES,20120702,,3,pressure microleak; snowflake starting 06-02-2014,AO
1900976,PSAL,20120702,,3,pressure microleak; snowflake starting 06-02-2014,AO
1900976,TEMP,20120702,,3,pressure microleak; snowflake starting 06-02-2014,AO
1901369,PSAL,20131001,,4,salinity sensor problem,AO
1901396,PSAL,20110910,,4,salinity calibration jump,AO
1901397,PSAL,20110713,,4,salinity calibration jump,AO
1901410,PSAL,20170818,,4,sensor problem,AO
1901504,PSAL,20140531,,4,sensor problem,AO
1901504,TEMP,20140531,,4,sensor problem,AO
1901514,PRES,20141102,,4,beached float,AO
1901514,PSAL,20141102,,4,beached float,AO
1901514,TEMP,20141102,,4,beached float,AO
1901519,PSAL,20151026,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1901520,PSAL,20151023,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1901521,PSAL,20151101,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1901522,PSAL,20160610,,3,sensor problem,AO
1901522,TEMP,20160610,,3,sensor problem,AO
1901685,PRES,20160404,,4,frozen profile due to low voltage,AO
1901685,PSAL,20160404,,4,frozen profile due to low voltage,AO
1901685,TEMP,20160404,,4,frozen profile due to low voltage,AO
1901696,PSAL,20140419,,4,salinity sensor problem,AO
1901715,PSAL,20160813,,4,salinity drift,AO
1901717,PSAL,20181126,,4,bad sensor,AO
1901728,PSAL,20140913,,4,psal offset,AO
1901731,PSAL,20150914,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1901732,PSAL,20160723,,3,sensor problem,AO
1901733,PSAL,20161020,,4,sensor problem,AO
1901784,PSAL,20170319,,4,sensor problem,AO
1901785,PSAL,20150907,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1901796,PSAL,20160603,,4,sensor problem,AO
1901800,PSAL,20160222,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1901803,PSAL,20170322,,4,sensor drift,AO
1901832,PSAL,20190913,,4,sensor problem,AO
1901834,PSAL,20160512,,2,maybe poor sensor performance; reason SBE sensor serial # in 6000-7100,AO
1901839,PSAL,20190807,,4,sensor problem,AO
1902025,PRES,20190414,,4,sensor problem,AO
1902025,PSAL,20190414,,4,sensor problem,AO
