cruise,station,type,time,lon,lat,local_cdi_ID,EDMO_code,bottle_depth,sensor_pressure,sensor_pressure_flag,potential_temperature,potential_temperature_flag,practical_salinity,practical_salinity_flag,sigma_theta,sigma_theta_flag,uncalibrated_CTD_temperature,uncalibrated_CTD_temperature_flag
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,3.5,1,16.653,1,35.511,1,25.990,1,16.654,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,4.5,1,16.654,1,35.512,1,25.990,1,16.655,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,5.5,1,16.652,1,35.513,1,25.991,1,16.653,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,6.5,1,16.652,1,35.512,1,25.991,1,16.653,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,7.5,1,16.648,1,35.512,1,25.992,1,16.65,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,8.5,1,16.642,1,35.512,1,25.993,1,16.643,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,9.5,1,16.644,1,35.512,1,25.993,1,16.646,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,10.5,1,16.644,1,35.512,1,25.993,1,16.646,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,11.5,1,16.632,1,35.512,1,25.995,1,16.634,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,12.5,1,16.630,1,35.512,1,25.996,1,16.632,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,13.5,1,16.628,1,35.513,1,25.997,1,16.63,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,14.5,1,16.630,1,35.512,1,25.996,1,16.633,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,15.5,1,16.628,1,35.513,1,25.997,1,16.631,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,16.5,1,16.626,1,35.512,1,25.997,1,16.628,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,17.5,1,16.622,1,35.512,1,25.998,1,16.625,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,18.5,1,16.624,1,35.512,1,25.998,1,16.627,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,19.5,1,16.620,1,35.512,1,25.999,1,16.624000000000002,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,20.5,1,16.620,1,35.512,1,25.999,1,16.623,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,21.5,1,16.618,1,35.512,1,25.999,1,16.622,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,22.5,1,16.614,1,35.513,1,26.001,1,16.618,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,23.5,1,16.603,1,35.513,1,26.003,1,16.607,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,24.5,1,16.602,1,35.512,1,26.003,1,16.605999999999998,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,25.5,1,16.599,1,35.512,1,26.003,1,16.602999999999998,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,26.5,1,16.600,1,35.512,1,26.003,1,16.604,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,27.5,1,16.599,1,35.512,1,26.003,1,16.604,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,28.5,1,16.597,1,35.512,1,26.004,1,16.601,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,29.5,1,16.584,1,35.512,1,26.007,1,16.589000000000002,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,30.5,1,16.584,1,35.511,1,26.006,1,16.589000000000002,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,31.5,1,16.585,1,35.512,1,26.006,1,16.59,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,32.5,1,16.583,1,35.511,1,26.006,1,16.589000000000002,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,33.5,1,16.583,1,35.512,1,26.007,1,16.588,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,34.5,1,16.582,1,35.512,1,26.007,1,16.588,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,35.5,1,16.582,1,35.512,1,26.007,1,16.587,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,36.5,1,16.581,1,35.512,1,26.007,1,16.587,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,37.5,1,16.579,1,35.512,1,26.008,1,16.585,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,38.5,1,16.579,1,35.512,1,26.008,1,16.585,1
JR19950921,CTD01,*,1995-09-25T12:47:00,-9.146,48.9313,1056481.0,43.0,103.47,39.5,1,16.578,1,35.512,1,26.008,1,16.584,1
