,source_data,source_location_of_data,source_comments_from_Tang_validation,data_cross_check_complete,UCYN_A_qPCR_assays_used,methods_sampling_analysis,time,lat,lon,depth,UCYN_A1_nifH_gene,UCYN_A2_A3_A4_nifH_gene,total_UCYN_A__nifH_gene,UCYN_B_nifH_gene,UCYN_C_nifH_gene,trichodesmium_nifH_gene,richelia_nifH_gene,calothrix_nifH_gene,richelia_associated_species,calothrix_associated_species,notes
0,"Hannah Halm et al., 2012 ISME",data shown in Table 2,,Y,"Halm 2012 (A1, A2, A3, A4)",qPCR,2007-01-04 00:00:00,-27.91,-123.16,0.0,,,0.0,,,,,,,,
1,"Hannah Halm et al., 2012 ISME",data shown in Table 2,,Y,"Halm 2012 (A1, A2, A3, A4)",qPCR,2007-01-04 00:00:00,-27.91,-123.16,150.0,,,0.0,,,,,,,,
2,"Hannah Halm et al., 2012 ISME",data shown in Table 2,,Y,"Halm 2012 (A1, A2, A3, A4)",qPCR,2007-01-07 00:00:00,-27.73,-117.61,0.0,,,0.0,,,,,,,,
3,"Hannah Halm et al., 2012 ISME",data shown in Table 2,,Y,"Halm 2012 (A1, A2, A3, A4)",qPCR,2007-01-07 00:00:00,-27.73,-117.61,220.0,,,81800.0,,,,,,,,
4,"Hannah Halm et al., 2012 ISME",data shown in Table 2,,Y,"Halm 2012 (A1, A2, A3, A4)",qPCR,2007-01-11 00:00:00,-38.06,-133.1,0.0,,,255600.0,,,,,,,,
5,"Hannah Halm et al., 2012 ISME",data shown in Table 2,,Y,"Halm 2012 (A1, A2, A3, A4)",qPCR,2007-01-11 00:00:00,-38.06,-133.1,110.0,,,,,,,,,,,
6,"Hannah Halm et al., 2012 ISME",data shown in Table 2,,Y,"Halm 2012 (A1, A2, A3, A4)",qPCR,2007-01-13 00:00:00,-39.31,-139.8,0.0,,,300.0,,,,,,,,
7,"Hannah Halm et al., 2012 ISME",data shown in Table 2,,Y,"Halm 2012 (A1, A2, A3, A4)",qPCR,2007-01-13 00:00:00,-39.31,-139.8,100.0,,,,,,,,,,,
8,"Hannah Halm et al., 2012 ISME",data shown in Table 2,,Y,"Halm 2012 (A1, A2, A3, A4)",qPCR,2007-01-15 00:00:00,-41.85,-153.1,60.0,,,144700.0,,,,,,,,
9,"Andreas Krupke et al., 2013. Systematic and applied microbiology",data from table 3,,Y,Church 2005 (A1),qPCR,2010-12-03 00:00:00,16.76,-25.12,1.0,3690000,,,63100.0,,,,,,,"""Surface seawater was col- lected using 5 L buckets lowered by hand to the surface (0–1 m)"""
